Task,ID,Day,Owner,Area,Priority,Status,Morning Sync Context,End-of-Day Outcome,Notes
Create Expo + React Native project with TypeScript,G-01,Day 1,Gianfranco,Backend,🔴 P0,Not Started,"Align on MVP scope","Repo exists, Supabase connected, can create users and items",""
Set up Supabase project (auth + storage),G-02,Day 1,Gianfranco,Backend,🔴 P0,Not Started,"Supabase credentials shared","Repo exists, Supabase connected, can create users and items",""
Create DB schema: users, items, wants,G-03,Day 1,Gianfranco,Backend,🔴 P0,Not Started,"Supabase live","Repo exists, Supabase connected, can create users and items",""
Set up RLS policies (users only see own data),G-04,Day 1,Gianfranco,Backend,🔴 P0,Not Started,"DB tables exist","Repo exists, Supabase connected, can create users and items",""
Configure Google + Apple OAuth,G-05,Day 1,Gianfranco,Backend,🟡 P1,Not Started,"Auth working","Repo exists, Supabase connected, can create users and items",""

Write Claude prompt for image → item ID,E-01,Day 1,Emmanuel,AI,🔴 P0,Not Started,"Sample images ready","Working prompts that identify items + estimate value",""
Define structured output schema,E-02,Day 1,Emmanuel,AI,🔴 P0,Not Started,"Prompt drafted","Working prompts that identify items + estimate value",""
Test prompt on 10+ photos,E-03,Day 1,Emmanuel,AI,🔴 P0,Not Started,"Schema locked","Working prompts that identify items + estimate value",""
Write valuation prompt,E-04,Day 1,Emmanuel,AI,🟡 P1,Not Started,"Item ID prompt works","Working prompts that identify items + estimate value",""
Document confidence threshold,E-05,Day 1,Emmanuel,AI,🟡 P1,Not Started,"Testing done","Working prompts that identify items + estimate value",""

Set up navigation (tabs + stacks),L-01,Day 1,Lillian,Frontend,🔴 P0,Not Started,"Repo cloned","Can open app, sign up, log in, see home screen",""
Build component library,L-02,Day 1,Lillian,Frontend,🔴 P0,Not Started,"Navigation ready","Can open app, sign up, log in, see home screen",""
Build Welcome screen,L-03,Day 1,Lillian,Frontend,🔴 P0,Not Started,"Components ready","Can open app, sign up, log in, see home screen",""
Build Login + Signup screens,L-04,Day 1,Lillian,Frontend,🔴 P0,Not Started,"Supabase auth ready","Can open app, sign up, log in, see home screen",""
Build Home screen,L-05,Day 1,Lillian,Frontend,🟡 P1,Not Started,"Auth flow works","Can open app, sign up, log in, see home screen",""

Build image upload (ImagePicker → Storage),G-06,Day 2,Gianfranco,Backend,🔴 P0,Not Started,"DB works","Upload image → AI analysis → saved item",""
Create analyzeImage edge function,G-07,Day 2,Gianfranco,Backend,🔴 P0,Not Started,"Claude key ready","Upload image → AI analysis → saved item",""
Build createItem + updateItem APIs,G-08,Day 2,Gianfranco,Backend,🔴 P0,Not Started,"Edge function works","Upload image → AI analysis → saved item",""
Build createWant API,G-09,Day 2,Gianfranco,Backend,🟡 P1,Not Started,"Items work","Upload image → AI analysis → saved item",""
Add matches + swipes tables,G-10,Day 2,Gianfranco,Backend,🟡 P1,Not Started,"Schema stable","Upload image → AI analysis → saved item",""

Build category taxonomy,E-06,Day 2,Emmanuel,AI,🔴 P0,Not Started,"ID prompt works","AI returns confidence scores",""
Add confidence scoring,E-07,Day 2,Emmanuel,AI,🔴 P0,Not Started,"Taxonomy ready","AI returns confidence scores",""
Write clarification prompt,E-08,Day 2,Emmanuel,AI,🔴 P0,Not Started,"Confidence scoring ready","AI returns confidence scores",""
Research price comps,E-09,Day 2,Emmanuel,AI,🟡 P1,Not Started,"Valuation prompt drafted","AI returns confidence scores",""
Define Our Take rules,E-10,Day 2,Emmanuel,AI,🟡 P1,Not Started,"Price ranges known","AI returns confidence scores",""

Build Upload screen,L-06,Day 2,Lillian,Frontend,🔴 P0,Not Started,"Image upload API ready","Full upload flow works end-to-end",""
Build Upload Clarification screen,L-07,Day 2,Lillian,Frontend,🔴 P0,Not Started,"Clarification prompt ready","Full upload flow works end-to-end",""
Connect upload to API,L-08,Day 2,Lillian,Frontend,🔴 P0,Not Started,"Screens built","Full upload flow works end-to-end",""
Build My List screen,L-09,Day 2,Lillian,Frontend,🟡 P1,Not Started,"Items saved","Full upload flow works end-to-end",""
Build Item Detail screen,L-10,Day 2,Lillian,Frontend,🟡 P1,Not Started,"My List works","Full upload flow works end-to-end",""

Build nearby items query,G-11,Day 3,Gianfranco,Backend,🔴 P0,Not Started,"Location available","Swiping creates matches",""
Build recordSwipe function,G-12,Day 3,Gianfranco,Backend,🔴 P0,Not Started,"Query works","Swiping creates matches",""
Build checkForMatch logic,G-13,Day 3,Gianfranco,Backend,🔴 P0,Not Started,"Swipes recorded","Swiping creates matches",""
Add offers + deals tables,G-14,Day 3,Gianfranco,Backend,🟡 P1,Not Started,"Matching works","Swiping creates matches",""
Build getMatches query,G-15,Day 3,Gianfranco,Backend,🟡 P1,Not Started,"Deals exist","Swiping creates matches",""

Buyer recommendation logic,E-11,Day 3,Emmanuel,AI,🔴 P0,Not Started,"Our Take rules","AI recommends actions",""
Seller recommendation logic,E-12,Day 3,Emmanuel,AI,🔴 P0,Not Started,"Buyer logic works","AI recommends actions",""
Agent negotiation prompt,E-13,Day 3,Emmanuel,AI,🔴 P0,Not Started,"Seller logic works","AI recommends actions",""
Price trajectory estimation,E-14,Day 3,Emmanuel,AI,🟡 P1,Not Started,"Negotiation prompt ready","AI recommends actions",""
Agent personality guidelines,E-15,Day 3,Emmanuel,AI,🟡 P1,Not Started,"All prompts stable","AI recommends actions",""

Build Swipe Buying screen,L-11,Day 3,Lillian,Frontend,🔴 P0,Not Started,"Nearby query works","Swipe + match works",""
Build Swipe Selling screen,L-12,Day 3,Lillian,Frontend,🔴 P0,Not Started,"Incoming interest ready","Swipe + match works",""
Implement swipe gestures,L-13,Day 3,Lillian,Frontend,🔴 P0,Not Started,"UI ready","Swipe + match works",""
Display Our Take UI,L-14,Day 3,Lillian,Frontend,🟡 P1,Not Started,"AI logic ready","Swipe + match works",""
Build Matches screen,L-15,Day 3,Lillian,Frontend,🟡 P1,Not Started,"Match logic works","Swipe + match works",""
